iter	Passed	Remaining
506	1639	1594
507	1641	1589
508	1642	1584
509	1644	1580
510	1646	1575
511	1649	1571
512	1650	1567
513	1653	1563
514	1655	1558
515	1657	1554
516	1658	1549
517	1661	1545
518	1663	1541
519	1665	1537
520	1667	1532
521	1669	1528
522	1671	1524
523	1673	1520
524	1675	1515
525	1677	1511
526	1679	1507
527	1682	1504
528	1685	1500
529	1687	1496
530	1688	1491
531	1690	1487
532	1692	1483
533	1694	1479
534	1697	1475
535	1699	1470
536	1701	1466
537	1703	1462
538	1704	1458
539	1706	1454
540	1709	1450
541	1711	1446
542	1729	1455
543	1731	1451
544	1733	1447
545	1735	1442
546	1737	1438
547	1738	1434
548	1740	1430
549	1743	1426
550	1745	1422
551	1748	1418
552	1758	1421
553	1760	1417
554	1762	1413
555	1765	1409
556	1767	1405
557	1768	1401
558	1770	1396
559	1772	1392
560	1790	1401
561	1792	1397
562	1794	1392
563	1797	1389
564	1799	1385
565	1800	1380
566	1802	1376
567	1804	1372
568	1806	1368
569	1808	1364
570	1810	1360
571	1812	1356
572	1814	1352
573	1816	1347
574	1817	1343
575	1820	1340
576	1836	1346
577	1838	1342
578	1850	1345
579	1865	1350
580	1866	1346
581	1868	1341
582	1870	1337
583	1872	1333
584	1874	1329
585	1875	1325
586	1878	1321
587	1880	1317
588	1882	1313
589	1884	1309
590	1886	1305
591	1888	1301
592	1890	1297
593	1893	1293
594	1895	1290
595	1897	1286
596	1898	1281
597	1901	1278
598	1910	1278
599	1911	1274
600	1913	1270
601	1915	1266
602	1917	1262
603	1920	1258
604	1922	1254
605	1924	1251
606	1926	1247
607	1928	1243
608	1930	1239
609	1932	1235
610	1934	1231
611	1936	1227
612	1938	1223
613	1940	1220
614	1942	1216
615	1944	1212
616	1946	1208
617	1948	1204
618	1950	1200
619	1952	1196
620	1954	1193
621	1957	1189
622	1958	1185
623	1960	1181
624	1962	1177
625	1964	1173
626	1986	1181
627	1989	1178
628	1991	1174
629	1993	1170
630	1994	1166
631	1997	1162
632	1999	1159
633	2001	1155
634	2002	1151
635	2017	1154
636	2019	1150
637	2021	1146
638	2032	1148
639	2034	1144
640	2037	1140
641	2039	1137
642	2040	1133
643	2042	1129
644	2044	1125
645	2047	1121
646	2049	1117
647	2051	1114
648	2053	1110
649	2055	1106
650	2057	1102
651	2059	1099
652	2061	1095
653	2063	1091
654	2065	1087
655	2067	1084
656	2078	1085
657	2080	1081
658	2083	1077
659	2085	1074
660	2094	1074
661	2096	1070
662	2098	1066
663	2100	1062
664	2102	1059
665	2104	1055
666	2106	1051
667	2108	1047
668	2124	1051
669	2126	1047
670	2129	1043
671	2131	1040
672	2132	1036
673	2134	1032
674	2136	1028
675	2138	1024
676	2140	1021
677	2143	1017
678	2145	1014
679	2147	1010
680	2149	1006
681	2150	1002
682	2152	999
683	2154	995
684	2170	997
685	2172	994
686	2174	990
687	2177	987
688	2179	983
689	2181	980
690	2183	976
691	2185	972
692	2187	968
693	2189	965
694	2191	961
695	2200	961
696	2202	957
697	2204	953
698	2206	950
699	2208	946
700	2210	942
701	2213	939
702	2215	935
703	2217	932
704	2218	928
705	2221	924
706	2223	921
707	2225	917
708	2227	914
709	2229	910
710	2230	906
711	2232	903
712	2234	899
713	2236	896
714	2239	892
715	2241	888
716	2243	885
717	2245	881
718	2246	878
719	2248	874
720	2250	870
721	2253	867
722	2276	872
723	2278	868
724	2280	865
725	2282	861
726	2285	858
727	2288	854
728	2290	851
729	2292	847
730	2294	844
731	2296	840
732	2299	837
733	2310	837
734	2312	833
735	2314	830
736	2317	826
737	2319	823
738	2321	820
739	2324	816
740	2326	813
741	2328	809
742	2330	806
743	2333	802
744	2335	799
745	2337	795
746	2340	792
747	2342	789
748	2357	789
749	2359	786
750	2361	783
751	2364	779
752	2366	776
753	2368	772
754	2371	769
755	2373	765
756	2375	762
757	2376	758
758	2378	755
759	2380	751
760	2383	748
761	2385	744
762	2387	741
763	2389	738
764	2391	734
765	2393	731
766	2395	727
767	2397	724
768	2399	720
769	2401	717
770	2432	722
771	2434	719
772	2436	715
773	2438	712
774	2440	708
775	2442	705
776	2445	701
777	2447	698
778	2449	694
779	2451	691
780	2453	687
781	2455	684
782	2456	680
783	2458	677
784	2460	674
785	2463	670
786	2465	667
787	2467	663
788	2469	660
789	2471	656
790	2473	653
791	2475	650
792	2477	646
793	2493	646
794	2495	643
795	2497	640
796	2525	643
797	2527	639
798	2529	636
799	2531	632
800	2534	629
801	2536	626
802	2538	622
803	2540	619
804	2543	616
805	2545	612
806	2547	609
807	2549	605
808	2551	602
809	2553	599
810	2555	595
811	2558	592
812	2560	588
813	2562	585
814	2564	582
815	2567	578
816	2569	575
817	2571	572
818	2573	568
819	2576	565
820	2577	562
821	2580	558
822	2582	555
823	2584	551
824	2586	548
825	2588	545
826	2590	541
827	2592	538
828	2594	535
829	2596	531
830	2598	528
831	2600	525
832	2602	521
833	2604	518
834	2606	515
835	2608	511
836	2610	508
837	2612	505
838	2614	501
839	2616	498
840	2618	495
841	2626	492
842	2628	489
843	2630	486
844	2632	482
845	2634	479
846	2636	476
847	2638	472
848	2640	469
849	2642	466
850	2655	465
851	2658	461
852	2670	460
853	2672	456
854	2674	453
855	2676	450
856	2678	446
857	2680	443
858	2682	440
859	2717	442
860	2718	438
861	2720	435
862	2722	432
863	2724	428
864	2726	425
865	2728	422
866	2730	418
867	2734	415
868	2737	412
869	2739	409
870	2741	406
871	2743	402
872	2764	402
873	2767	398
874	2769	395
875	2771	392
876	2773	389
877	2775	385
878	2777	382
879	2779	378
880	2781	375
881	2797	374
882	2799	370
883	2802	367
884	2805	364
885	2807	361
886	2809	357
887	2812	354
888	2814	351
889	2817	348
890	2819	344
891	2821	341
892	2824	338
893	2826	335
894	2830	332
895	2833	328
896	2835	325
897	2838	322
898	2841	319
899	2856	317
900	2858	314
901	2861	310
902	2864	307
903	2867	304
904	2869	301
905	2871	297
906	2873	294
907	2876	291
908	2878	288
909	2880	284
910	2883	281
911	2885	278
912	2888	275
913	2890	271
914	2892	268
915	2894	265
916	2897	262
917	2899	259
918	2901	255
919	2903	252
920	2905	249
921	2908	246
922	2911	242
923	2913	239
924	2916	236
925	2919	233
926	2921	230
927	2924	226
928	2926	223
929	2929	220
930	2932	217
931	2934	214
932	2936	210
933	2938	207
934	2940	204
935	2943	201
936	2946	198
937	2958	195
938	2961	192
939	2963	189
940	2965	185
941	2967	182
942	2969	179
943	2989	177
944	2991	174
945	3004	171
946	3006	168
947	3009	165
948	3011	161
949	3013	158
950	3015	155
951	3017	152
952	3020	148
953	3022	145
954	3025	142
955	3027	139
956	3029	136
957	3031	132
958	3033	129
959	3035	126
960	3038	123
961	3040	120
962	3042	116
963	3045	113
964	3047	110
965	3049	107
966	3052	104
967	3054	100
968	3056	97
969	3059	94
970	3061	91
971	3063	88
972	3065	85
973	3067	81
974	3071	78
975	3074	75
976	3077	72
977	3079	69
978	3082	66
979	3085	62
980	3088	59
981	3091	56
982	3093	53
983	3096	50
984	3100	47
985	3102	44
986	3105	40
987	3108	37
988	3111	34
989	3113	31
990	3116	28
991	3118	25
992	3120	21
993	3123	18
994	3126	15
995	3128	12
996	3131	9
997	3133	6
998	3135	3
999	3138	0
