iter	Logloss
0	0.6855518595
1	0.6772097778
2	0.6689601135
3	0.6608728536
4	0.6539891052
5	0.6461861165
6	0.6403648885
7	0.6324437459
8	0.6263434347
9	0.6193208313
10	0.6125047811
11	0.6058968099
12	0.5983121745
13	0.5928637695
14	0.5860868835
15	0.5799809774
16	0.573844045
17	0.5682988485
18	0.5635999552
19	0.5569511922
20	0.5507270813
21	0.5471060181
22	0.5415875753
23	0.5364092509
24	0.5301052856
25	0.5250790405
26	0.5197954305
27	0.5150832621
28	0.5092033895
29	0.503105367
30	0.4978868103
31	0.4923096212
32	0.4869933065
33	0.4817150879
34	0.4771916707
35	0.4721911112
36	0.4677053833
37	0.4637403361
38	0.4601375326
39	0.4558223979
40	0.4527515157
41	0.4497226461
42	0.4456444295
43	0.4426632182
44	0.4390252686
45	0.4345110067
46	0.4319211324
47	0.4277280172
48	0.4234549967
49	0.4187325541
50	0.4150236257
51	0.4111469014
52	0.4068220011
53	0.4042172241
54	0.4005603027
55	0.3973760478
56	0.3948716736
57	0.3918492889
58	0.3878923035
59	0.3841972605
60	0.3815675354
61	0.3790890503
62	0.3754563395
63	0.3723881531
64	0.3697460429
65	0.3660885366
66	0.362741394
67	0.3602597046
68	0.3567762756
69	0.3540790304
70	0.3516307576
71	0.3489876811
72	0.3460050456
73	0.3437624359
74	0.3407488251
75	0.3379174805
76	0.335720698
77	0.3330300903
78	0.3315414174
79	0.3291460927
80	0.3266825612
81	0.3242588298
82	0.3213262685
83	0.3187814331
84	0.3154774984
85	0.3128424072
86	0.3103527832
87	0.3083229065
88	0.3062038167
89	0.3044672394
90	0.3022455851
91	0.3002941386
92	0.29853302
93	0.2968280284
94	0.2951505025
95	0.2929156494
96	0.2919873301
97	0.2898131307
98	0.2871636454
99	0.2855482229
100	0.2840777842
101	0.2821295166
102	0.2804558309
103	0.2788333639
104	0.2775584666
105	0.2757058716
106	0.2736414591
107	0.2721930949
108	0.2697818502
109	0.267914505
110	0.2661661275
111	0.2640561676
112	0.2620504252
113	0.2597502899
114	0.2581702423
115	0.2561174774
116	0.2538251241
117	0.2521187846
118	0.2504756165
119	0.2488911947
120	0.2477245076
121	0.2455842845
122	0.2437978617
123	0.241988856
124	0.2407923889
125	0.2395001221
126	0.238195521
127	0.23662913
128	0.2351713053
129	0.2335733541
130	0.231738561
131	0.2301241557
132	0.2285531616
133	0.2270815277
134	0.2261170451
135	0.2250464884
136	0.2237113444
137	0.2223811595
138	0.2212561798
139	0.2200312551
140	0.2189861552
141	0.2180708059
142	0.2167359924
143	0.2152429454
144	0.2136007945
145	0.2120969137
146	0.2104718526
147	0.2097254181
148	0.2083236949
149	0.2072124863
150	0.2064388275
151	0.2050780233
152	0.203878479
153	0.2027415593
154	0.2013703156
155	0.2001685842
156	0.1989049021
157	0.1978121694
158	0.1969078064
159	0.1957574972
160	0.194331131
161	0.1931632741
162	0.1922563934
163	0.1915387472
164	0.1905751165
165	0.189857076
166	0.1889739609
167	0.1880776342
168	0.1869512939
169	0.1861394882
170	0.1851533763
171	0.1840241114
172	0.1834153366
173	0.1827370326
174	0.1821802139
175	0.1812451681
176	0.1800539653
177	0.1792419942
178	0.1786047872
179	0.1772565969
180	0.1765023677
181	0.1755683009
182	0.1748209381
183	0.1738430405
184	0.1729877599
185	0.1722267405
186	0.1716439438
187	0.1708891042
188	0.1703368886
189	0.169592514
190	0.1689837392
191	0.1682307816
192	0.1674192556
193	0.1665257136
194	0.1655556742
195	0.1646398926
196	0.1635972977
197	0.1629430262
198	0.1619348145
199	0.1612665812
200	0.160461057
201	0.1597221883
202	0.1588085175
203	0.1580970128
204	0.157449913
205	0.1570070648
206	0.1562580617
207	0.155535965
208	0.1549269358
209	0.1541522853
210	0.1532369868
211	0.1522801971
212	0.1513180796
213	0.1507565562
214	0.15025177
215	0.1494983673
216	0.1488407389
217	0.1480091222
218	0.1473696772
219	0.1470657984
220	0.1464103444
221	0.1459471639
222	0.1451891327
223	0.1445865631
224	0.1439911652
225	0.1433041
226	0.1427852885
227	0.1421589533
228	0.141458257
229	0.1406788127
230	0.140215861
231	0.1397922897
232	0.1391617966
233	0.1385349528
234	0.1378204981
235	0.1371084595
236	0.136757609
237	0.1364979808
238	0.1358411153
239	0.1356130219
240	0.1352615611
241	0.1348884583
242	0.134429512
243	0.1337976074
244	0.1333136495
245	0.1325627136
246	0.1319036738
247	0.1314225896
248	0.1309818776
249	0.1305093638
250	0.1301048533
251	0.1296557872
252	0.1291602961
253	0.1286504364
254	0.1279365794
255	0.127371521
256	0.1269766363
257	0.1264313253
258	0.1259651184
259	0.1254866536
260	0.1249750773
261	0.124577357
262	0.1241072845
263	0.1235673014
264	0.1229480235
265	0.1224895732
266	0.1220819855
267	0.1216775258
268	0.1212374115
269	0.1208137258
270	0.1203751882
271	0.1199121094
272	0.1195401001
273	0.1193018214
274	0.1189985911
275	0.1186139425
276	0.1182354101
277	0.1178252665
278	0.1173619843
279	0.1170897675
280	0.1167640177
281	0.1162268321
282	0.1158552297
283	0.1154516602
284	0.1150559362
285	0.1144906362
286	0.1140123749
287	0.1133411153
288	0.1129559326
289	0.1125151062
290	0.1120977275
291	0.1116902415
292	0.1115152868
293	0.1110783641
294	0.1107139842
295	0.1103971481
296	0.1100931803
297	0.1098606745
298	0.1096011098
299	0.1092575073
300	0.1089013672
301	0.1085623932
302	0.1081056468
303	0.1078058624
304	0.1074969737
305	0.1072248077
306	0.1069778824
307	0.1068227259
308	0.1065216192
309	0.1061141841
310	0.1057371012
311	0.1053270594
312	0.1048636055
313	0.1045332209
314	0.1042923991
315	0.1038119125
316	0.1033744558
317	0.1029248174
318	0.1028161685
319	0.1024402746
320	0.1021637472
321	0.1019121806
322	0.1015905762
323	0.1013630422
324	0.10098224
325	0.1007037989
326	0.1004868062
327	0.1002166748
328	0.09987713496
329	0.09943332672
330	0.09919807434
331	0.09879988352
332	0.09850828807
333	0.09824293772
334	0.09791543961
335	0.09756130219
336	0.09724732081
337	0.09695695877
338	0.09671969732
339	0.09652186076
340	0.0962584432
341	0.09597512563
342	0.09574333191
343	0.09551633835
344	0.0953288269
345	0.09506680806
346	0.09470480601
347	0.0943991216
348	0.09410628637
349	0.09369365692
350	0.09344081243
351	0.09318698883
352	0.09306728363
353	0.09291833878
354	0.09271820068
355	0.0925110054
356	0.09224509557
357	0.09194812139
358	0.0916916275
359	0.09136755625
360	0.09096341451
361	0.09076932271
362	0.09062411626
363	0.09039618174
364	0.09021595001
365	0.08988049825
366	0.08956483841
367	0.08933237076
368	0.08905886968
369	0.08873877207
370	0.08852743785
371	0.08822490692
372	0.0879047521
373	0.08772415797
374	0.08743958155
375	0.0871749115
376	0.08686306636
377	0.08666186015
378	0.08650915782
379	0.08622777303
380	0.08599950155
381	0.08583806356
382	0.08559620539
383	0.0854212443
384	0.08516447703
385	0.08488677343
386	0.08465219498
387	0.0844879214
388	0.08435817719
389	0.08416624069
390	0.08394348145
391	0.08371711731
392	0.08355584462
393	0.08339562098
394	0.08323130925
395	0.08307417552
396	0.08296417872
397	0.08277941386
398	0.08267838796
399	0.08256309509
400	0.08220041275
401	0.08199956258
402	0.08176831563
403	0.08152591705
404	0.08125165304
405	0.08103248596
406	0.08089984894
407	0.08065501531
408	0.08050158183
409	0.08029374441
410	0.08005243937
411	0.07981164932
412	0.07965386073
413	0.07951086044
414	0.07936220169
415	0.0791866684
416	0.07893436432
417	0.07881491343
418	0.07856362661
419	0.07826169332
420	0.07805811564
421	0.07800074259
422	0.07781125387
423	0.07755578359
424	0.07734430949
425	0.07711196899
426	0.07691665014
427	0.0766068395
428	0.07653397878
429	0.07637780507
430	0.07621408463
431	0.0760304896
432	0.07585626602
433	0.07571168264
434	0.07547499339
435	0.075345637
436	0.0751538976
437	0.0749930191
438	0.07480252584
439	0.07457658132
440	0.07439685822
441	0.07438248316
442	0.07429114024
443	0.07410418193
444	0.07393846512
445	0.07380672455
446	0.07355002085
447	0.07339820862
448	0.07316345851
449	0.0730068779
450	0.07292080561
451	0.07277884165
452	0.07264938354
453	0.07245600382
454	0.07236988068
455	0.07227117538
456	0.07209382375
457	0.07193176905
458	0.07184996923
459	0.07169785182
460	0.07158664703
461	0.07146604538
462	0.0711821874
463	0.07101807276
464	0.07080176671
465	0.07067508698
466	0.07049351374
467	0.07021449407
468	0.07005559921
469	0.06992071152
470	0.06973253886
471	0.06959564209
472	0.0695552063
473	0.06941369375
474	0.06919873556
475	0.06907717387
476	0.06892269135
477	0.06878555934
478	0.06875888824
479	0.06865308126
480	0.06851529439
481	0.06838840485
482	0.06816396077
483	0.06804573695
484	0.06797290802
485	0.06784503937
486	0.06774141947
487	0.06755563736
488	0.06746695201
489	0.06724656423
490	0.06717580795
491	0.06702402751
492	0.0669304657
493	0.06685081482
494	0.06669860204
495	0.06657950083
496	0.06646879832
497	0.0663209788
498	0.06617696126
499	0.0660585022
500	0.06591767629
501	0.06575220744
502	0.06568546295
503	0.06559885661
504	0.06549177806
505	0.06538889567
506	0.06528308868
507	0.06521064123
508	0.06509497325
509	0.06501686732
510	0.06483929316
511	0.06465405146
512	0.064494826
513	0.0644361496
514	0.06434312185
515	0.06423596064
516	0.06409079234
517	0.06402194977
518	0.06394756317
519	0.06377307892
520	0.06368586222
521	0.06360967
522	0.06347704569
523	0.06335339864
524	0.06322584788
525	0.06310029348
526	0.06297569911
527	0.0628645579
528	0.06275973002
529	0.06261326472
530	0.06250306447
531	0.0623923111
532	0.06230426788
533	0.06215237935
534	0.06202835083
535	0.06194138209
536	0.06183115641
537	0.06162685394
538	0.06151563644
539	0.06137275696
540	0.06124876658
541	0.06112244924
542	0.06099938711
543	0.06086971919
544	0.06079116821
545	0.06067574819
546	0.06044740041
547	0.06035662333
548	0.06024595896
549	0.06012452443
550	0.05999234517
551	0.05990416209
552	0.05979894002
553	0.05968245824
554	0.05954430262
555	0.05943056742
556	0.05931016286
557	0.05914715449
558	0.05903870265
559	0.05892987569
560	0.0588203303
561	0.05871243795
562	0.05859311422
563	0.05847036362
564	0.05842997869
565	0.0582513682
566	0.05818955739
567	0.05816306432
568	0.0579658699
569	0.05785264333
570	0.05776299795
571	0.05765873591
572	0.0575665919
573	0.05749994914
574	0.05740135829
575	0.05727514267
576	0.05720855713
577	0.05708780289
578	0.05697552999
579	0.05692024231
580	0.05685123444
581	0.05683396657
582	0.05677831014
583	0.05670138677
584	0.05661656698
585	0.05651644389
586	0.0564258639
587	0.05632662455
588	0.05628986994
589	0.0561722374
590	0.05604731242
591	0.05598136902
592	0.0558568128
593	0.05573144277
594	0.05564507167
595	0.05555959702
596	0.05547677358
597	0.05538655599
598	0.05527029673
599	0.05519549052
600	0.05511410395
601	0.05503530502
602	0.05491793315
603	0.05477584839
604	0.05466133753
605	0.05451425552
606	0.05438827515
607	0.05432179133
608	0.0542278417
609	0.05409500122
610	0.05402757645
611	0.05391488393
612	0.05389149984
613	0.0538004748
614	0.05373034159
615	0.05364611944
616	0.05355151494
617	0.05348190308
618	0.05346878688
619	0.05340438843
620	0.05335091273
621	0.05330084165
622	0.05320038478
623	0.05314291
624	0.05308375994
625	0.05305894216
626	0.05293731054
627	0.05284024556
628	0.05278749148
629	0.05269614538
630	0.05259527842
631	0.05251152039
632	0.05242940585
633	0.05234720548
634	0.05230416616
635	0.05221844991
636	0.05213253339
637	0.05205317815
638	0.05202994029
639	0.05195270856
640	0.05181697528
641	0.05173549652
642	0.05166118622
643	0.05160064379
644	0.05150536855
645	0.05139958064
646	0.05131355921
647	0.05119153341
648	0.05110859235
649	0.05103533427
650	0.05093917847
651	0.05087795258
652	0.05076385498
653	0.05069535255
654	0.05062180837
655	0.05057657878
656	0.05051444372
657	0.05045976639
658	0.05036611875
659	0.05028402964
660	0.0502229023
661	0.05014814695
662	0.05010789871
663	0.0500158755
664	0.0499373881
665	0.04988705953
666	0.04983962059
667	0.04976209005
668	0.04967046102
669	0.04961358388
670	0.049561011
671	0.04948881785
672	0.04948070526
673	0.04940319061
674	0.04937157631
675	0.04929462751
676	0.0492274634
677	0.0491677316
678	0.04907080968
679	0.04898845037
680	0.04889616966
681	0.04888817787
682	0.04884321849
683	0.0487832737
684	0.04870160103
685	0.04864775976
686	0.04854749044
687	0.04847121557
688	0.04839881897
689	0.04833830198
690	0.04831615766
691	0.04827680588
692	0.04818925222
693	0.04810100555
694	0.04803941727
695	0.04789971034
696	0.0478219986
697	0.04773982366
698	0.04770023028
699	0.04761793772
700	0.04752720197
701	0.04742642721
702	0.04736620267
